[2025-05-11 19:42:55.151992 +06:00] INFO [src/main.rs:69] 
Executing Sqlite3 Prerequisites...
[2025-05-11 19:42:59.772755 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.788195 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.789894 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.803553 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.819843 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.819847 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.819819 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.834821 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.869414 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.895706 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.945518 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.973491 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.973534 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:59.973594 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
